ファイルパス,行番号,使用パターン,用途,重要度,備考
src/classes/api_request_helper.py,5,import requests,共通HTTPリクエストヘルパー,★★★,基底関数で全体に影響
src/classes/api_request_helper.py,26,requests.Response,型ヒント,★★★,戻り値型定義
src/classes/api_request_helper.py,66,requests.request,基底リクエスト実行,★★★,全HTTPメソッドの共通処理
src/classes/api_request_helper.py,98,requests.exceptions.Timeout,例外処理,★★★,タイムアウトエラーハンドリング
src/classes/api_request_helper.py,108,requests.exceptions.ConnectionError,例外処理,★★★,接続エラーハンドリング
src/classes/ai_manager.py,8,import requests,AI API接続,★★★,OpenAI/Gemini/LocalLLM接続
src/classes/ai_manager.py,21,requests.Session(),セッション作成,★★★,AI API用のセッション管理
src/classes/ai_manager.py,344,requests.exceptions.ConnectionError,例外処理,★★★,AI接続エラーハンドリング
src/tools/rde_request_analyzer.py,16,import requests,RDE API分析,★★★,認証・API分析機能
src/tools/rde_request_analyzer.py,25,requests.Response,型ヒント,★★★,レスポンス型定義
src/tools/rde_request_analyzer.py,50,requests.Session(),セッション作成,★★★,RDE用セッション管理
src/tools/rde_request_analyzer.py,254,requests.Response,型ヒント,★★★,CSRFトークン取得
src/functions/common_funcs.py,6,import requests,汎用関数,★★,共通関数での直接利用
src/functions/common_funcs.py,89,requests.get,直接GETリクエスト,★★,ファイルダウンロード等
src/classes/image_processor.py,28,import requests,画像処理,★★,サムネイル・画像取得
src/classes/image_processor.py,98,requests.get,ファイルリスト取得,★★,RDEからのファイル一覧取得
src/classes/rde_api_client.py,1,import requests,RDE API接続,★★,RDE APIの基本接続
src/classes/rde_api_client.py,14,requests.get,直接GETリクエスト,★★,RDE API呼び出し
src/classes/image_interceptor.py,3,import requests,画像インターセプト,★★,blob URL処理
src/classes/image_interceptor.py,15,requests.get,画像データ取得,★★,バイナリデータ取得
src/classes/subgroup_create_widget.py,639,import requests,サブグループ作成,★,UI機能の一部
src/classes/subgroup_create_widget.py,647,requests.post,サブグループAPI呼び出し,★,JSON API投稿
src/classes/subgroup_create_widget.py,1256,import requests,サブグループ関連,★,動的インポート
src/classes/subgroup_create_widget.py,1257,requests.post,API投稿,★,データ投稿処理
src/classes/dataset_edit_functions.py,355,import requests,データセット編集,★,編集機能の一部
src/classes/dataset_edit_functions.py,384,requests.patch,データ更新API,★,PATCH APIの利用
src/classes/subgroup_edit_functions.py,622,import requests,サブグループ編集,★,編集機能
src/classes/subgroup_edit_functions.py,623,requests.patch,更新API呼び出し,★,PATCH APIの利用
src/classes/data_manager.py,282,import requests,データ管理,★,動的インポート
src/classes/image_processor_enhanced.py,117,import requests,拡張画像処理,★,動的インポート
src/classes/image_processor_enhanced.py,119,requests.get,画像取得,★,ヘッダー付きGET
src/tools/rde_dataset_creation_gui.py,684,import requests,データセット作成GUI,★,動的インポート
src/tools/rde_dataset_creation_gui.py,805,import requests,GUI内部処理,★,動的インポート
src/tools/rde_dataset_creation_gui.py,806,requests.cookies.RequestsCookieJar,Cookie管理,★,Cookie jar作成
